"title","author","journal","year"
"The Loss of ALDH9A1 Is a Significant Source of Endogenous DNA Damage Which May be Reversed By the Inhibition of Polyamine Transport System","M Jung, I Ilyashov, D Keahi, T Wiley, S Sridhar, A Goldfarb, ...","Blood, The Journal of the American Society of Hematology",2021
"Package ‘soGGi’","G Dharmalingam, D Barrows, T Carroll, MT Carroll","",2021
"NOX-dependent reactive oxygen species are essential regulators of axonal regeneration","A Hervera, F De Virgiliis, I Palmisano, L Zhou, E Tantardini, G Kong, ...","Free radical biology & medicine",2021
"Two competing mechanisms of DNMT3A recruitment regulate the dynamics of de novo DNA methylation at PRC1-targeted CpG islands","DN Weinberg, P Rosenbaum, X Chen, D Barrows, C Horth, MR Marunde, ...","Nature genetics",2021
"Decoupling expression and editing preferences of ADAR1 p150 and p110 isoforms","T Sun, Y Yu, X Wu, A Acevedo, JD Luo, J Wang, WM Schneider, B Hurwitz, ...","Proceedings of the National Academy of Sciences",2021
"Fanconi anemia pathway deficiency drives copy number variation in squamous cell carcinomas","ALH Webster, MA Sanders, K Patel, R Dietrich, RJ Noonan, FP Lach, ...","Biorxiv",2021
"Circulating level of microRNA-142-5p is a potential biomarker for predicting in-stent restenosis: a case–control study","CH Pan, SC Chien, CJ Chen, CM Shih, MH Hsieh, CY Huang, WF Bi, ...","BMC Cardiovascular Disorders",2021
"GSAP regulates lipid homeostasis and mitochondrial function associated with Alzheimer’s disease","P Xu, JC Chang, X Zhou, W Wang, M Bamkole, E Wong, K Bettayeb, ...","Journal of Experimental Medicine",2021
"Identification of Neurensin-2 as a novel modulator of emotional behavior","G Umschweif, L Medrihan, A Guillén-Samander, W Wang, Y Sagi, ...","Molecular Psychiatry",2021
"Neuron-Glia Signaling Regulates the Onset of the Antidepressant Response","V Yao, A Aly, S Kalik, J Gresack, W Wang, A Handler, A Schaefer, ...","bioRxiv",2021
"Molecular and cellular adaptations in hippocampal parvalbumin neurons mediate behavioral responses to chronic social stress","DL Bhatti, L Medrihan, MX Chen, J Jin, K McCabe, W Wang, EP Azevedo, ...","bioRxiv",2021
"Human T-bet governs innate and innate-like adaptive IFN-γ immunity against mycobacteria","R Yang, F Mele, L Worley, D Langlais, J Rosain, I Benhsaien, H Elarabi, ...","Cell",2020
"Impaired cell fate through gain-of-function mutations in a chromatin reader","L Wan, S Chong, F Xuan, A Liang, X Cui, L Gates, TS Carroll, Y Li, L Feng, ...","Nature",2020
"Sensory discrimination of blood and floral nectar by Aedes aegypti mosquitoes","V Jové, Z Gong, FJH Hol, Z Zhao, TR Sorrells, TS Carroll, M Prakash, ...","Neuron",2020
"ZBTB1 regulates asparagine synthesis and leukemia cell response to L-asparaginase","RT Williams, R Guarecuco, LA Gates, D Barrows, MC Passarelli, B Carey, ...","Cell metabolism",2020
"BMP signaling: at the gate between activated melanocyte stem cells and differentiation","NR Infarinato, KS Stewart, Y Yang, NC Gomez, HA Pasolli, L Hidalgo, ...","Genes & Development",2020
"m6A RNA methylation impacts fate choices during skin morphogenesis","L Xi, T Carroll, I Matos, JD Luo, L Polak, HA Pasolli, SR Jaffrey, E Fuchs","Elife",2020
"Loss of UTX/KDM6A and the activation of FGFR3 converge to regulate differentiation gene-expression programs in bladder cancer","D Barrows, L Feng, TS Carroll, CD Allis","Proceedings of the National Academy of Sciences",2020
"Independence of HIF1a and androgen signaling pathways in prostate cancer","MGB Tran, BAS Bibby, L Yang, F Lo, AY Warren, D Shukla, M Osborne, ...","BMC cancer",2020
"Novel genetic features of human and mouse Purkinje cell differentiation defined by comparative transcriptomics","DE Buchholz, TS Carroll, A Kocabas, X Zhu, H Behesti, PL Faust, ...","Proceedings of the National Academy of Sciences",2020
"5-hydroxymethylcytosine and gene activity in mouse intestinal differentiation","S Uribe-Lewis, T Carroll, S Menon, A Nicholson, PJ Manasterski, ...","Scientific reports",2020
"Intellectual disability-associated factor Zbtb11 cooperates with NRF-2/GABP to control mitochondrial function","BC Wilson, L Boehme, A Annibali, A Hodgkinson, TS Carroll, RJ Oakey, ...","Nature Communications",2020
"A histone-like motif in yellow fever virus contributes to viral replication","D Mourão, S Chen, U Schaefer, L Bozzacco, LA Carneiro, A Gerber, ...","bioRxiv",2020
"The taste of blood in mosquitoes","V Jové, Z Gong, FJH Hol, Z Zhao, TR Sorrells, TS Carroll, M Prakash, ...","bioRxiv",2020
"Metadata record for: STATegra, a comprehensive multi-omics dataset of B-cell differentiation in mouse","D Gomez-Cabrero, S Tarazona, I Ferreirós-Vidal, RN Ramirez, A Schmidt, ...","figshare",2020
"The Herper package is a simple toolset to install and manage conda packages and environments from R","M Paul, T Carroll, D Barrows, K Rozen-Gagnon","Bioconductor",2020
"Transcriptomic analysis in liquid biopsy identifies circulating PCTAIRE-1 mRNA as a biomarker in NSCLC","JWC Chang, CL Shih, CL Wang, JD Luo, CW Wang, JJ Hsieh, CJ Yu, ...","Cancer Genomics-Proteomics",2020
"Targeted sequencing of circulating cell free DNA can be used to monitor therapeutic efficacy of tyrosine kinase inhibitors in non-small cell lung cancer patients","CC Chiou, CL Wang, JD Luo, CY Liu, HW Ko, CT Yang","Cancer Genomics-Proteomics",2020
"Selective neuronal vulnerability in Alzheimer’s disease: a network-based analysis","JP Roussarie, V Yao, P Rodriguez-Rodriguez, R Oughtred, J Rust, ...","Neuron",2020
"AP-1 controls the p11-dependent antidepressant response","RU Chottekalapanda, S Kalik, J Gresack, A Ayala, M Gao, W Wang, ...","Molecular psychiatry",2020
"Translational profiling of mouse dopaminoceptive neurons reveals a role of PGE2 in dorsal striatum","E Montalban, A Giralt, L Taing, Y Nakamura, C Martin, B de Pins, A Pelosi, ...","bioRxiv",2020
"GSAP regulates mitochondrial function through the Mitochondria-associated ER membrane in the pathogenesis of Alzheimer’s disease","P Xu, JC Chang, X Zhou, W Wang, M Bamkole, E Wong, K Bettayeb, ...","bioRxiv",2020
"The cytoplasmic DNA sensor cGAS promotes mitotic cell death","C Zierhut, N Yamaguchi, M Paredes, JD Luo, T Carroll, H Funabiki","Cell",2019
"Early life stress restricts translational reactivity in CA3 neurons associated with altered stress responses in adulthood","J Marrocco, JD Gray, JF Kogan, NR Einhorn, EM O’Cinneide, TG Rubin, ...","Frontiers in behavioral neuroscience",2019
"STATegra, a comprehensive multi-omics dataset of B-cell differentiation in mouse","D Gomez-Cabrero, S Tarazona, I Ferreirós-Vidal, RN Ramirez, ...","Scientific data",2019
"Selective deployment of transcription factor paralogs with submaximal strength facilitates gene regulation in the immune system","L Bruno, V Ramlall, RA Studer, S Sauer, D Bradley, G Dharmalingam, ...","Nature immunology",2019
"Feedforward regulation of Myc coordinates lineage-specific with housekeeping gene expression during B cell progenitor cell differentiation","I Ferreirós-Vidal, T Carroll, T Zhang, V Lagani, RN Ramirez, ...","PLoS Biology",2019
"A crystal/clear pipeline for applied image processing","CJ Watkins, N Rosa, T Carroll, D Ratcliffe, M Ristic, C Russell, R Li, ...","Asian Conference on Supercomputing Frontiers",2019
"AR chromatin binding is reprogrammed in the absence of FOXA1 in ER-breast cancers","I Denis, LA Selth, JLL Robinson, H Mohammed, T Carroll, GD Brown, ...","Oncology Abstracts",2019
"A Crystal/Clear Pipeline for Applied","CJ Watkins, N Rosa, T Carroll, D Ratcliffe, M Ristic, C Russell, R Li, ...","Supercomputing Frontiers:",2019
"Cohesin is continuously required to sustain neuronal gene expression","L Calderon, FD Weiss, T Carroll, EE Irvine, G Dharmalingam, K Tossell, ...","GENETICS RESEARCH",2019
"Condensin action and compaction","MR Paul, A Hochwagen, S Ercan","Current genetics",2019
"The Condensin Complex: A Multi-functional Genome Organizer","MR Paul","New York University",2019
